,regions,coverage
0,231_253_358_93_55_343_115_107_377_453_122_570_287_318_213_212_79_303_149_177,37884
1,509_531_177_561_85_253_404_427_250_216_148_550_288_563_318_432_507_185_289_136,55227
2,288_315_99_252_333_144_217_387_195_355_562_474_108_492_522_531_313_236_121_444,55092
3,225_509_174_391_116_311_299_291_133_154_245_562_58_217_54_213_232_507_120_503,44532
4,291_101_296_322_464_305_480_395_504_332_492_107_570_363_122_513_106_475_270_169,57771
5,255_85_70_446_170_506_438_314_468_407_563_387_485_73_250_198_442_133_233_318,50451
6,237_376_124_224_79_288_235_285_513_138_470_428_239_575_395_323_216_401_289_366,41798
7,323_303_205_8_313_397_311_133_283_339_301_28_503_121_215_177_476_73_247_152,42770
8,368_83_495_73_255_178_285_128_319_540_109_389_539_226_177_203_70_423_332_223,40555
9,170_307_363_138_388_231_486_545_398_3_416_28_287_469_224_282_415_562_220_174,47934
10,154_144_125_570_220_131_141_330_79_488_133_444_510_362_345_346_422_283_239_136,47443
11,423_202_203_504_285_363_410_178_481_197_133_241_442_97_346_140_510_441_374_466,41040
12,319_229_453_257_490_366_250_531_520_177_216_454_259_410_178_315_175_66_491_96,45306
13,363_192_382_295_253_119_358_540_237_232_460_340_225_368_151_256_102_215_258_244,33456
14,539_154_437_101_182_115_361_41_149_143_470_474_382_442_572_90_478_279_306_278,51061
15,282_475_326_458_304_502_178_451_249_8_70_460_308_121_119_171_510_244_487_158,53694
16,411_109_334_291_58_79_332_192_124_368_220_376_289_92_114_205_226_475_481_391,46470
17,545_22_377_390_199_468_384_175_282_116_513_497_304_182_234_363_289_117_487_102,53059
18,501_123_577_149_177_509_339_188_390_196_152_313_513_261_376_301_237_487_210_497,50755
19,481_94_312_152_519_478_212_422_358_109_531_185_8_318_141_330_128_180_223_469,54199
20,234_261_286_270_368_181_291_478_340_215_539_121_362_357_141_28_479_85_108_365,34852
21,391_361_144_279_454_215_467_339_512_130_419_372_401_216_121_318_377_152_270_294,47105
22,119_326_378_203_433_84_238_370_158_492_513_485_451_99_342_286_442_244_229_536,57452
23,411_398_416_575_441_545_294_186_396_510_229_299_326_298_216_419_240_480_437_197,52505
24,442_278_422_452_222_396_391_109_504_393_125_374_213_505_286_184_138_247_491_220,43926
25,341_241_106_54_99_370_221_239_133_184_479_525_404_202_470_84_66_419_23_471,37989
26,120_115_70_385_432_396_230_460_410_134_103_178_205_545_451_301_244_441_287_397,42146
27,120_357_522_575_23_383_573_385_208_196_313_103_422_429_43_479_370_452_250_577,53229
28,83_134_224_467_484_231_377_357_61_306_427_108_124_485_436_225_401_343_94_240,42927
29,129_474_233_286_239_175_442_401_212_475_476_422_484_540_428_443_312_141_208_122,45143
30,385_358_346_130_464_72_398_326_180_172_522_43_332_176_422_562_256_158_225_376,48089
31,385_531_459_141_444_118_474_367_301_215_401_303_434_485_311_216_416_43_377_318,52985
32,357_278_367_288_393_158_141_218_135_108_287_250_176_368_415_501_485_520_130_497,43011
33,369_231_101_210_115_314_152_169_99_90_562_301_475_176_453_247_506_428_452_102,49109
34,191_436_387_55_152_248_492_522_519_61_257_108_117_384_431_422_467_539_238_167,48990
35,415_223_222_254_199_539_118_115_241_492_144_283_431_138_252_152_72_365_172_435,43754
36,223_255_129_191_106_343_282_315_207_369_419_171_289_298_563_346_148_218_237_109,32823
37,358_490_129_73_22_411_305_436_495_92_529_368_144_382_109_505_223_502_202_225,48141
38,470_444_330_256_208_459_28_231_522_233_442_389_134_446_374_133_99_418_469_241,37499
39,55_245_120_220_234_416_223_305_433_365_562_442_396_212_503_122_175_272_253_341,49247
40,249_23_174_102_120_487_279_152_43_438_355_199_169_475_466_358_433_398_497_447,50919
41,149_424_441_444_451_215_299_333_94_209_144_61_114_116_154_404_181_129_363_368,37003
42,312_333_388_491_545_401_259_332_402_314_232_125_467_393_151_487_469_549_158_283,51270
43,226_345_212_270_382_289_402_108_213_131_216_496_519_85_363_506_312_355_416_255,50753
44,442_549_314_215_501_225_247_141_168_221_133_427_445_109_368_504_293_238_461_259,50654
45,177_470_444_322_315_79_519_496_477_115_131_129_102_341_113_123_256_54_371_120,49447
46,114_96_469_241_389_54_369_490_415_83_506_192_479_288_454_570_312_94_41_332,54616
47,484_291_512_294_88_319_199_431_122_238_326_368_279_278_396_124_346_427_506_152,52662
48,299_342_149_58_224_459_295_303_129_92_215_563_63_55_503_478_435_367_496_96,46797
49,289_212_415_294_444_171_355_498_286_436_176_513_135_22_363_496_73_447_250_93,45396
50,505_198_443_370_407_286_444_433_326_129_233_240_144_418_307_404_135_522_232_234,46950
51,423_158_141_505_129_133_171_128_436_531_332_258_561_468_294_311_239_573_503_545,51823
52,129_479_570_248_73_340_505_506_383_41_169_407_58_331_108_138_322_446_519_306,55828
53,212_488_188_496_23_502_203_323_118_358_109_444_288_367_140_536_128_471_481_247,47131
54,323_539_519_396_221_545_177_283_454_192_438_272_332_404_84_504_253_503_296_237,58994
55,236_295_158_429_93_438_495_459_319_531_363_355_345_393_256_549_230_570_175_419,50731
56,432_441_178_236_476_234_205_322_419_471_561_94_259_237_172_407_357_97_307_233,43824
57,314_215_487_121_497_241_540_424_133_289_272_365_102_395_520_411_210_339_323_124,48874
58,191_445_423_507_141_504_225_446_429_422_288_109_424_427_253_534_197_471_383_73,45908
59,123_433_119_298_383_199_210_390_376_451_114_73_299_192_208_79_148_84_438_170,39269
60,244_224_395_43_577_370_136_168_468_258_467_251_424_23_259_305_525_315_333_303,46657
61,367_382_237_307_366_119_169_454_88_130_289_390_395_303_232_115_334_470_102_41,45458
62,294_474_143_341_251_404_577_141_480_104_468_415_245_85_61_361_357_130_188_113,38220
63,550_286_484_143_374_438_333_231_186_577_340_454_312_203_252_238_41_570_424_293,53643
64,177_88_120_395_575_461_83_333_229_491_319_255_131_182_283_301_240_196_368_130,51646
65,145_492_384_129_577_93_433_374_135_106_398_167_220_207_407_115_132_149_510_504,46378
66,453_395_233_64_410_315_467_3_256_503_358_245_477_108_460_22_249_211_422_149,48019
67,245_256_436_252_285_575_232_168_454_145_244_120_216_341_422_428_261_172_253_570,42748
68,496_286_363_486_55_502_534_144_258_191_180_453_312_182_342_136_481_311_366_488,51052
69,570_285_378_210_304_517_66_108_365_442_104_229_461_73_397_506_468_230_479_563,47507
70,138_407_402_451_209_41_411_216_529_393_286_224_99_577_470_106_250_323_391_357,52549
71,318_241_536_141_221_529_382_466_503_383_517_231_225_477_485_491_154_118_312_106,55979
72,549_311_88_54_444_116_575_272_453_253_388_411_158_96_41_169_257_144_517_475,50316
73,432_508_437_108_169_441_491_311_252_99_355_443_257_132_301_270_362_208_451_140,43734
74,120_415_366_512_188_536_79_318_312_151_202_118_334_507_130_299_22_84_485_96,52201
75,427_283_401_212_339_441_525_197_461_384_549_130_361_231_287_476_334_357_395_378,52881
76,169_505_151_485_357_176_422_117_322_236_520_474_256_212_123_217_232_133_230_54,47612
77,211_43_520_573_549_241_398_367_517_237_253_296_432_312_415_256_374_330_184_134,45215
78,389_244_92_301_291_458_446_215_313_145_196_382_138_545_401_410_330_474_340_577,55544
79,114_496_283_285_308_130_384_451_135_467_64_471_453_468_231_470_545_539_217_125,40150
80,519_305_339_278_23_104_447_377_531_145_376_539_188_106_124_212_299_226_169_240,46002
81,387_334_131_506_460_407_223_136_433_510_8_143_207_251_145_278_108_382_562_132,51564
82,531_168_366_64_452_415_470_295_383_575_83_322_121_424_361_296_562_93_464_90,51476
83,512_221_70_314_103_28_304_197_136_203_176_272_244_357_393_428_358_453_484_168,49537
84,435_114_308_549_118_454_342_389_378_278_70_376_124_374_469_540_138_416_411_181,50002
85,231_283_486_363_370_428_506_323_215_158_23_253_238_141_504_296_470_431_446_72,46188
86,96_130_296_427_470_315_140_184_254_531_415_72_94_384_124_459_144_540_512_418,50923
87,368_423_254_531_88_63_249_305_64_234_294_479_467_470_333_460_401_410_385_195,45016
88,388_340_370_367_252_291_226_575_391_293_446_216_563_520_230_22_104_517_313_491,49703
89,485_501_562_148_464_397_240_180_454_222_424_513_522_418_345_474_429_99_64_84,54094
90,447_460_333_144_169_210_149_383_474_226_438_286_398_437_522_390_397_303_66_495,50306
91,73_117_175_245_314_355_253_288_54_504_459_158_561_229_357_487_427_238_304_22,58779
92,342_213_106_441_93_562_318_369_497_197_481_289_85_72_490_506_451_261_466_495,54958
93,497_577_133_438_334_407_517_151_388_258_223_313_291_261_319_28_210_239_536_563,60281
94,196_216_434_404_384_90_109_197_331_419_312_512_128_298_539_385_332_415_180_294,47512
95,540_130_208_23_178_402_175_180_488_177_460_124_85_358_241_249_64_385_484_168,46109
96,188_343_215_311_387_577_432_460_549_443_304_143_433_22_64_562_237_453_424_428,42742
97,136_257_484_496_531_436_236_382_346_108_96_372_79_342_101_314_323_41_233_388,53287
98,495_326_258_119_237_99_256_133_93_479_318_223_460_424_299_90_468_306_43_8,41402
