region,pixels
1,359
2,359
3,2912
4,2850
5,2367
6,1563
7,1436
8,2676
9,289
10,1238
11,2367
12,2253
13,1436
14,64
15,64
16,1436
17,122
18,2240
19,646
20,1745
21,373
22,3063
23,2912
24,2334
25,0
26,369
27,304
28,2597
29,4123
30,242
31,417
32,2430
33,310
34,1226
35,1977
36,1826
37,93
38,2057
39,93
40,77
41,3487
42,1289
43,2724
44,2145
45,2145
46,1649
47,2145
48,2165
49,2004
50,513
51,513
52,1724
53,1724
54,3468
55,3319
56,2220
57,1734
58,3936
59,7300
60,7218
61,2696
62,2108
63,2696
64,3601
65,1443
66,3227
67,3601
68,1905
69,4811
70,3775
71,1886
72,3459
73,2997
74,532
75,2422
76,0
77,2348
78,2348
79,2578
80,1974
81,5822
82,1120
83,2578
84,3158
85,3831
86,2509
87,1724
88,3197
89,2412
90,3615
91,1226
92,2927
93,3423
94,3853
95,1490
96,3993
97,3277
98,1631
99,4153
100,667
101,4153
102,3125
103,3125
104,3051
105,2087
106,4012
107,3306
108,2870
109,5463
110,7232
111,1774
112,2372
113,3414
114,2822
115,3607
116,3928
117,2822
118,3089
119,3826
120,3088
121,3444
122,3133
123,3133
124,3235
125,4920
126,1657
127,3235
128,5463
129,3559
130,3559
131,4476
132,3343
133,3343
134,3210
135,2563
136,3651
137,2321
138,4142
139,4374
140,3444
141,3417
142,484
143,3444
144,3311
145,3611
146,2289
147,2289
148,4007
149,4012
150,1593
151,4993
152,4297
153,2180
154,2960
155,1698
156,9773
157,1698
158,2832
159,2123
160,2123
161,2180
162,2180
163,1460
164,431
165,1460
166,1460
167,3688
168,7510
169,4459
170,5227
171,3850
172,5174
173,22705
174,3688
175,3688
176,3316
177,3688
178,2820
179,2174
180,2594
181,2595
182,4146
183,30341
184,4536
185,6932
186,3993
187,1349
188,4023
189,3804
190,1065
191,3652
192,6932
193,2107
194,6816
195,4221
196,4221
197,3196
198,2888
199,4506
200,5285
201,0
202,5285
203,5285
204,1730
205,6536
206,1617
207,4952
208,2714
209,6475
210,4035
211,4036
212,4036
213,3426
214,1808
215,2910
216,4446
217,2683
218,2683
219,1702
220,3645
221,3569
222,4594
223,4006
224,2919
225,3739
226,4006
227,550
228,550
229,2919
230,2864
231,2683
232,3837
233,2820
234,2714
235,2651
236,2931
237,3000
238,3645
239,3645
240,2982
241,5084
242,4963
243,2035
244,3509
245,4236
246,0
247,4236
248,4120
249,4236
250,4236
251,2982
252,3143
253,2848
254,4009
255,3128
256,3647
257,5970
258,3647
259,3509
260,2480
261,2588
262,2411
263,219
264,219
265,2411
266,2480
267,1427
268,2480
269,1281
270,4047
271,414
272,3265
273,2501
274,2458
275,1232
276,2290
277,2488
278,3418
279,3418
280,1993
281,2358
282,3418
283,7991
284,1160
285,5186
286,4230
287,6596
288,7095
289,3951
290,17207
291,5186
292,2358
293,4025
294,3662
295,3662
296,3433
297,1097
298,4811
299,3662
300,1879
301,4811
302,2144
303,4467
304,4467
305,4467
306,3597
307,4467
308,6445
309,6445
310,2386
311,3597
312,4523
313,6134
314,7295
315,4810
316,1442
317,4523
318,6369
319,6369
320,14589
321,1098
322,8271
323,3073
324,14658
325,2398
326,4643
327,1417
328,517
329,1695
330,3413
331,3216
332,2558
333,3344
334,5620
335,926
336,10304
337,1789
338,1518
339,3521
340,3222
341,3222
342,5100
343,2587
344,2227
345,4861
346,4950
347,2227
348,4861
349,4950
350,1587
351,2227
352,14036
353,4950
354,2227
355,4239
356,14036
357,3566
358,3566
359,4684
360,0
361,2827
362,2719
363,3877
364,4950
365,3877
366,4405
367,4239
368,4239
369,4239
370,3709
371,3013
372,3488
373,1802
374,4239
375,1802
376,3013
377,4449
378,3347
379,2129
380,3424
381,2129
382,3954
383,2593
384,7746
385,4614
386,3709
387,2742
388,4360
389,4360
390,4581
391,4581
392,2317
393,5844
394,11274
395,4408
396,7140
397,4408
398,3271
399,2472
400,2472
401,5360
402,5834
403,1657
404,4112
405,1541
406,4112
407,3196
408,3003
409,734
410,3196
411,3890
412,3196
413,2079
414,1533
415,3890
416,8471
417,1355
418,4287
419,3195
420,1880
421,1880
422,5681
423,3024
424,5042
425,2068
426,2029
427,4178
428,4677
429,2542
430,9412
431,5806
432,3188
433,3446
434,3474
435,3073
436,4178
437,8687
438,5806
439,3268
440,12567
441,3477
442,4536
443,3837
444,4498
445,7822
446,4303
447,4561
448,2036
449,10792
450,0
451,6085
452,5634
453,3660
454,5651
455,7272
456,1229
457,2004
458,6085
459,4099
460,3250
461,4630
462,3129
463,4541
464,4099
465,447
466,5479
467,6206
468,3807
469,3129
470,3934
471,2951
472,1843
473,1530
474,3408
475,5038
476,3002
477,2778
478,3014
479,3048
480,4020
481,4470
482,1514
483,1306
484,5695
485,3344
486,3663
487,8097
488,5231
489,1453
490,5414
491,7341
492,5794
493,333
494,2250
495,2821
496,3458
497,4406
498,4281
499,20203
500,13498
501,5795
502,5231
503,6389
504,5009
505,3852
506,4554
507,5009
508,3210
509,3613
510,5733
511,18498
512,4284
513,4455
514,1805
515,489
516,474
517,3815
518,1665
